Pseudo,IG,Role
Deimos,PATH TO B0T PLS,TOP
Misanthiel,PCS Misanthiel,TOP
Arhys,Arhys,TOP
Kitano,ZeusPhotonMaRin,TOP
Blackgryf,Δfter Dark,TOP
Theoloris,Theoloris,TOP
Farhed,FARHED TO CHALL,TOP
Lithosphere,Lithosphere,TOP
Tobi,PI Tobi,TOP
Magmica,LFT Magmica,TOP
Kallesyn,Antic Kalessyn,TOP
Leny,BAHAHHAHAHAHAHHA,TOP
Theocacs,Theocacs,JGL
Yams,G1pe,JGL
Hawlight,Hawlight,JGL
Tak,Tak,JGL
Asta,Astaaaa,JGL
CClown,Clown,JGL
Makoto,57364734,JGL
Stavo,Stavo1,JGL
PHILOSOF,PHILOSOF,JGL
Nowfyn,Cochon à 8h,JGL
Metroflox,CLRS Metroflox,JGL
Ugli,VLT LamestPoro,JGL
Kiki,KikiiEnClaket,JGL
Renewal,MUTE ALL CHUT,JGL
Woden,AKR Woden,JGL
Icarus,PCS Icarus,JGL
Wan,WAAAAAN,MID
Kamiloo,PCS Kamiloo,MID
Poro,T1 Poro,MID
Statik,It Cant Be Worse,MID
Solal,Solal,MID
Guirake,Guirake le sage,MID
Monstrob,MUSCLE MONSTROB,MID
Tykoul,Tykoul,MID
Blue Beast,LaBêteBleue,MID
Zhangsid,CLRS Zhangsid,MID
D1verse,TDSP D1verse,MID
Spadur,DIV Spadur,MID
Moutarde,TIME TO BOUNCE,MID
Alex,ΛŁΣX,MID
Chaneure,PCS Chaneure,MID
Goldenpenny,Goldenpenny,ADC
Leuz,Leuz01,ADC
Weiko,Αrυka,ADC
Nitjit,Ustueins,ADC
Iliks,Iliks,ADC
Pingouin,Pingouiη,ADC
Senna to rank 2,Fabioo,ADC
Akuma,Gap The Cait,ADC
Booshi,FNR Booshi,ADC
Kross,ALK Kross,ADC
Kassime,PGE Kassime,ADC
Yen,PCS Yen,ADC
Bibou,AKR Bibou,ADC
Aiko,inflate ad acc,ADC
Rift,I miss Jim,ADC
Myckio,Nο Role Modelz,ADC
Raito,Sυng Jin Woø,SUP
Romeo,t bon tu climb,SUP
PowerSmite,PowerSmite,SUP
Oniryon,Oniryon,SUP
Myrtus,Momo3,SUP
Kwebz,STREAMEZ YVNNIS,SUP
Cactus,BOZO Cactus,SUP
Sunfry,MAV Sunfry,SUP
Julgrim,VLT Julgrim,SUP
Snake,PGE Snake,SUP
Caillou,CLRS Caillou,SUP
Benaset,Road2Narnia,SUP
Wixo,Soon KE Keria,SUP
Cerecof,PERMA DEAFEN,SUP